,road,chainage,lrp,lat,lon,gap,type,name,condition,bridgedual,idx,crossing
0,N1,81.84392720706576,LRP_CROSS_70767,23.47897342469162,91.11819280998023,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70767,70768
2103,N102,0.00022991212250921645,LRP_CROSS_70768,23.47897342469162,91.11819280998023,,Crossing,Start of road from N1 Mainamati,,,70768,70767
0,N1,144.94070487930685,LRP_CROSS_70769,23.009514696474774,91.38193688647992,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70769,70770
2402,N104,1.9070741833622251,LRP_CROSS_70770,23.009514696474774,91.38193688647992,,Crossing,Intersection with Z1031,,,70770,70769
0,N1,144.94070487930685,LRP_CROSS_70771,23.009514696474774,91.38193688647992,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70771,70772
3349,N112,0.213467497432988,LRP_CROSS_70772,23.009514696474774,91.38193688647992,,Crossing,Start of from N104 at Pach Gachia mor,,,70772,70771
0,N1,144.94070487930685,LRP_CROSS_70773,23.009514696474774,91.38193688647992,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70773,70774
29055,Z1031,5.4770637801725055,LRP_CROSS_70774,23.009514696474774,91.38193688647992,,Crossing,"Start from Rahman filling station at Mohhamad Ali bazar, Intersection with N1 at Mohhamad Ali bazar.",,,70774,70773
2402,N104,1.9070741833622251,LRP_CROSS_70775,23.009514696474774,91.38193688647992,,Crossing,Intersection with Z1031,,,70775,70776
3349,N112,0.213467497432988,LRP_CROSS_70776,23.009514696474774,91.38193688647992,,Crossing,Start of from N104 at Pach Gachia mor,,,70776,70775
2402,N104,1.9070741833622251,LRP_CROSS_70777,23.009514696474774,91.38193688647992,,Crossing,Intersection with Z1031,,,70777,70778
29055,Z1031,5.4770637801725055,LRP_CROSS_70778,23.009514696474774,91.38193688647992,,Crossing,"Start from Rahman filling station at Mohhamad Ali bazar, Intersection with N1 at Mohhamad Ali bazar.",,,70778,70777
3349,N112,0.213467497432988,LRP_CROSS_70779,23.009514696474774,91.38193688647992,,Crossing,Start of from N104 at Pach Gachia mor,,,70779,70780
29055,Z1031,5.4770637801725055,LRP_CROSS_70780,23.009514696474774,91.38193688647992,,Crossing,"Start from Rahman filling station at Mohhamad Ali bazar, Intersection with N1 at Mohhamad Ali bazar.",,,70780,70779
0,N1,289.44859550905977,LRP_CROSS_70781,22.10214844308035,92.07413206090341,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70781,70782
3123,N108,0.0052480722421873165,LRP_CROSS_70782,22.10214844308035,92.07413206090341,,Crossing,Start of road from N1 at Keranirhat,,,70782,70781
0,N1,289.44859550905977,LRP_CROSS_70783,22.10214844308035,92.07413206090341,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70783,70784
28511,Z1019,0.3029398825389336,LRP_CROSS_70784,22.10214844308035,92.07413206090341,,Crossing,Road start from N1 at Satkaniya Rastar Matha.,,,70784,70783
3123,N108,0.0052480722421873165,LRP_CROSS_70785,22.10214844308035,92.07413206090341,,Crossing,Start of road from N1 at Keranirhat,,,70785,70786
28511,Z1019,0.3029398825389336,LRP_CROSS_70786,22.10214844308035,92.07413206090341,,Crossing,Road start from N1 at Satkaniya Rastar Matha.,,,70786,70785
0,N1,143.9029105218497,LRP_CROSS_70787,23.01876489114002,91.37053147315804,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70787,70788
28958,Z1030,0.264793587890796,LRP_CROSS_70788,23.01876489114002,91.37053147315804,,Crossing,Start at Intersection with N1 at Elahiganj.,,,70788,70787
0,N1,143.9029105218497,LRP_CROSS_70789,23.01876489114002,91.37053147315804,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70789,70790
31777,Z1083,0.012426344708131674,LRP_CROSS_70790,23.01876489114002,91.37053147315804,,Crossing,Intersection with Z1031 at salauddin school road,,,70790,70789
2402,N104,2.818123331323001,LRP_CROSS_70791,23.01876489114002,91.37053147315804,,Crossing,Intersection with Z1031,,,70791,70792
28958,Z1030,0.264793587890796,LRP_CROSS_70792,23.01876489114002,91.37053147315804,,Crossing,Start at Intersection with N1 at Elahiganj.,,,70792,70791
2402,N104,2.818123331323001,LRP_CROSS_70793,23.01876489114002,91.37053147315804,,Crossing,Intersection with Z1031,,,70793,70794
31777,Z1083,0.012426344708131674,LRP_CROSS_70794,23.01876489114002,91.37053147315804,,Crossing,Intersection with Z1031 at salauddin school road,,,70794,70793
3349,N112,1.2162774752412489,LRP_CROSS_70795,23.01876489114002,91.37053147315804,,Crossing,Start of from N104 at Pach Gachia mor,,,70795,70796
28958,Z1030,0.264793587890796,LRP_CROSS_70796,23.01876489114002,91.37053147315804,,Crossing,Start at Intersection with N1 at Elahiganj.,,,70796,70795
3349,N112,1.2162774752412489,LRP_CROSS_70797,23.01876489114002,91.37053147315804,,Crossing,Start of from N104 at Pach Gachia mor,,,70797,70798
31777,Z1083,0.012426344708131674,LRP_CROSS_70798,23.01876489114002,91.37053147315804,,Crossing,Intersection with Z1031 at salauddin school road,,,70798,70797
28958,Z1030,0.264793587890796,LRP_CROSS_70799,23.01876489114002,91.37053147315804,,Crossing,Start at Intersection with N1 at Elahiganj.,,,70799,70800
29055,Z1031,4.380823658015276,LRP_CROSS_70800,23.01876489114002,91.37053147315804,,Crossing,"Start from Rahman filling station at Mohhamad Ali bazar, Intersection with N1 at Mohhamad Ali bazar.",,,70800,70799
28958,Z1030,0.264793587890796,LRP_CROSS_70801,23.01876489114002,91.37053147315804,,Crossing,Start at Intersection with N1 at Elahiganj.,,,70801,70802
31777,Z1083,0.012426344708131674,LRP_CROSS_70802,23.01876489114002,91.37053147315804,,Crossing,Intersection with Z1031 at salauddin school road,,,70802,70801
29055,Z1031,4.380823658015276,LRP_CROSS_70803,23.01876489114002,91.37053147315804,,Crossing,"Start from Rahman filling station at Mohhamad Ali bazar, Intersection with N1 at Mohhamad Ali bazar.",,,70803,70804
31777,Z1083,0.012426344708131674,LRP_CROSS_70804,23.01876489114002,91.37053147315804,,Crossing,Intersection with Z1031 at salauddin school road,,,70804,70803
0,N1,100.08538580966102,LRP_CROSS_70805,23.380487521742683,91.23830242550271,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70805,70806
3363,N120,17.8258118500007,LRP_CROSS_70806,23.380487521742683,91.23830242550271,,Crossing,"Start of road N1 at Alaker Chor, Comilla.",,,70806,70805
0,N1,215.87326148235383,LRP_CROSS_70807,22.5016385131493,91.7134621605885,,Crossing,Start of Road  after Jatrabari Flyover infront of filling station.,,,70807,70808
3436,N129,2.78349498175557,LRP_CROSS_70808,22.5016385131493,91.7134621605885,,Crossing,Start of road from N1,,,70808,70807
